platform,name,link,evidence_note,metric_type,metric_value,metric_last_checked,proof_of_value
Base44,AI Assistant Builder (profession-tailored),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Experimental or Niche Apps.,,,,
Base44,Workflow Automation Sandbox,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Experimental or Niche Apps.,,,,
Base44,Feedback Collector (with sentiment),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Experimental or Niche Apps.,,,,
Base44,Internet Sensation Name Generator,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Funny & Wild Card Apps.,,,,
Base44,Conspiracy Theory Generator,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Funny & Wild Card Apps.,,,,
Base44,Trend Tracker Bingo,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Funny & Wild Card Apps.,,,,
Base44,Beige Flag Analyzer,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Funny & Wild Card Apps.,,,,
Base44,Prompt Pathway: Client Portal (steps 1–4),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Prompt pathways.,,,,
Base44,Prompt Pathway: Habit Tracker (steps),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Prompt pathways.,,,,
Base44,App Templates Hub (browse & clone),https://docs.base44.com/Guides/App-templates,Guide officiel — navigation + compteurs de clones visibles.,,,,
n8n,GitHub webhook-based import & deploy (CI/CD),https://n8n.io/workflows/4471-github-webhook-based-n8n-workflow-import-template/,Workflow officiel n8n — CI/CD via GitHub webhook.,,,,
n8n,Get Slack alert when a workflow fails,https://n8n.io/workflows/1326-get-a-slack-alert-when-a-workflow-went-wrong/,Workflow publié — monitoring/ops.,,,,
n8n,Upload a file to a Slack channel,https://n8n.io/workflows/1570-uploading-a-file-to-a-slack-channel/,Workflow publié — Slack + binary handling.,,,,
n8n,Slack chatbot powered by AI,https://n8n.io/workflows/1961-slack-chatbot-powered-by-ai/,Workflow publié — Slack AI bot.,,,,
n8n,Slack AI chatbot with threads (OpenRouter + Postgres),https://n8n.io/workflows/5749-create-a-slack-ai-chatbot-with-threads-and-thinking-ui-using-openrouter-and-postgres/,Workflow publié — Slack threads UI.,,,,
n8n,Slack + OpenAI assistants for DMs & @mentions,https://n8n.io/workflows/4683-slack-openai-assistant-integration-for-direct-messages-and-mentions/,Workflow publié — Slack+OpenAI.,,,,
n8n,Google Drive nested folder listing,https://n8n.io/workflows/6320-google-drive-workflow-with-nested-folder-support/,Workflow publié — Drive recursion.,,,,
n8n,Monitor & download changed files from Drive,https://n8n.io/workflows/6193-monitor-and-download-changed-files-from-google-drive-automatically/,Workflow publié — Drive change watcher.,,,,
n8n,Bulk share GDrive files + direct links,https://n8n.io/workflows/2042-bulk-automated-google-drive-files-sharing-and-direct-download-link-generation/,Workflow publié — Drive bulk ops.,,,,
n8n,Summarize new Google Doc & log to Google Sheet,https://n8n.io/workflows/2754-summarize-the-new-documents-from-google-drive-and-save-summary-in-google-sheet/,Workflow publié — Docs→AI summary→Sheets.,,,,
n8n,Build your own Google Drive MCP server,https://n8n.io/workflows/3634-build-your-own-google-drive-mcp-server/,Workflow publié — MCP server for Drive.,,,,
n8n,Transform Drive docs to vector embeddings (PGVector),https://n8n.io/workflows/3647-transform-google-drive-documents-into-vector-embeddings/,Workflow publié — RAG pipeline.,,,,
n8n,Send Google Drive files to Notion DB,https://n8n.io/workflows/1819-send-google-drive-files-to-notion-database/,Workflow officiel — Drive→Notion DB.,,,,
n8n,Import CSV contacts (Drive) to Notion DB,https://n8n.io/workflows/5612-import-csv-contacts-to-notion-database-from-google-drive/,Workflow publié — CSV→Notion.,,,,
n8n,Automatically document n8n workflows in Notion,https://n8n.io/workflows/2151-automatically-document-n8n-workflows-directly-in-notion-database/,Workflow publié — Notion doc management.,,,,
n8n,Notion AI Assistant Generator,https://n8n.io/workflows/2415-notion-ai-assistant-generator/,Workflow publié — Notion + AI.,,,,
n8n,Notion knowledge base AI assistant,https://n8n.io/workflows/2413-notion-knowledge-base-ai-assistant/,Workflow publié — Notion + AI KB.,,,,
n8n,AI Telegram bot assistant & summarizer,https://n8n.io/workflows/4457-ai-telegram-bot-agent-smart-assistant-and-content-summarizer/,Workflow publié — Telegram bot IA.,,,,
n8n,Convert JSON to an Excel file,https://n8n.io/workflows/1435-convert-json-to-an-excel-file/,Workflow publié — JSON→XLSX.,,,,
n8n,Airtable batch upsert (batch 10),https://n8n.io/workflows/3394-airtable-batch-update-insert-rows-send-faster-save-api-call-requests/,Workflow publié — Airtable perf.,,,,
n8n,Build an MCP server with Airtable,https://n8n.io/workflows/3879-build-an-mcp-server-with-airtable/,Workflow publié — MCP + Airtable.,,,,
n8n,Store form submissions to Airtable,https://n8n.io/workflows/2716-store-form-submission-in-airtable/,Workflow publié — Forms→Airtable.,,,,
n8n,Client onboarding: Tally → Drive/Notion/Slack,https://n8n.io/workflows/6351-client-onboarding-automation-tally-forms-to-google-drive-notion-and-slack/,Workflow publié — CRM onboarding.,,,,
n8n,Daily Google Ads → Notion + Sheets report,https://n8n.io/workflows/7133-daily-google-ads-performance-to-notion-and-google-sheets/,Workflow publié — Perf marketing.,,,,
n8n,Doc loader: Drive folder → KV dictionary,https://n8n.io/workflows/3421-load-and-aggregate-files-from-a-google-drive-folder-into-a-key-value-dictionary/,Workflow publié — ingest documents.,,,,
Zapier,Gmail → Slack: send new emails as channel messages,https://zapier.com/apps/gmail/integrations/slack/48/send-new-gmail-emails-as-slack-channel-messages,Template détaillé Zapier — très populaire.,,,,
Zapier,Gmail → Slack: emails matching search → Slack,https://zapier.com/apps/gmail/integrations/slack,Galerie intégration officielle — multiples templates populaires.,,,,
Zapier,Gmail → Slack: AI daily digest of emails,https://zapier.com/apps/gmail/integrations/slack/255573076/get-a-chatgpt-generated-email-summary-in-slack-for-new-gmail-emails,Template détaillé — résumé IA.,,,,
Zapier,Gmail → Slack: summarize with OpenAI,https://zapier.com/apps/gmail/integrations/slack/1225625/get-an-openai-generated-email-summary-in-slack-for-new-gmail-emails,Template détaillé — résumé OpenAI.,,,,
Zapier,Gmail ↔ Slack: public messages → Gmail,https://zapier.com/apps/gmail/integrations/slack/195392/send-gmail-emails-for-new-public-slack-messages-posted-anywhere,Template détaillé — Slack→Gmail.,,,,
Zapier,Gmail → Slack: summarize with Cohere,https://zapier.com/apps/gmail/integrations/slack/1223974/summarize-new-gmail-emails-matching-search-terms-with-cohere-and-send-slack-channel-messages,Template détaillé — résumé Cohere.,,,,
Zapier,Gmail → Slack: summarize with TextCortex,https://zapier.com/apps/gmail/integrations/slack/1262851/send-slack-channel-messages-with-new-gmail-emails-summarized-by-textcortex-ai,Template détaillé — résumé TextCortex.,,,,
Zapier,Typeform → Google Sheets (populate responses),https://zapier.com/apps/google-sheets/integrations/typeform,Galerie intégration officielle — nombreux templates.,,,,
Zapier,Facebook Lead Ads → HubSpot (deals),https://zapier.com/apps/facebook-lead-ads/integrations/hubspot/14701/add-new-facebook-lead-ads-leads-to-hubspot-as-deals,Template détaillé — FBLA→HubSpot Deals.,,,,
Zapier,Facebook Lead Ads → HubSpot (form),https://zapier.com/apps/facebook-lead-ads/integrations/hubspot/12919/copy-new-lead-responses-from-facebook-lead-ads-to-a-hubspot-form,Template détaillé — FBLA→HubSpot Form.,,,,
Zapier,Slack Integrations gallery (multiple templates),https://zapier.com/apps/slack/integrations,Galerie intégration officielle — nombreuses recettes éprouvées.,,,,
Zapier,Zapier Templates hub (browse),https://zapier.com/templates,Hub officiel des templates — classement par cas d’usage.,,,,
Zapier,Shopify → Google Sheets (orders / analytics),https://zapier.com/apps/shopify/integrations/google-sheets,Galerie intégration officielle — e-commerce reporting.,,,,
Zapier,Stripe → Slack (new payment notifications),https://zapier.com/apps/stripe/integrations/slack,Galerie intégration officielle — paiements → alertes.,,,,
Zapier,Stripe → Google Sheets (log charges),https://zapier.com/apps/stripe/integrations/google-sheets,Galerie intégration officielle — finance logging.,,,,
Zapier,Google Calendar → Slack (event reminders),https://zapier.com/apps/google-calendar/integrations/slack,Galerie intégration officielle — planif → alertes.,,,,
Zapier,Calendly → Google Calendar (bookings sync),https://zapier.com/apps/calendly/integrations/google-calendar,Galerie intégration officielle — rendez-vous.,,,,
Zapier,Airtable → Slack (new records),https://zapier.com/apps/airtable/integrations/slack,Galerie intégration officielle — ops.,,,,
Zapier,Airtable ↔ Google Sheets (sync/log),https://zapier.com/apps/airtable/integrations/google-sheets,Galerie intégration officielle — data ops.,,,,
Zapier,Notion → Slack (page created),https://zapier.com/apps/notion/integrations/slack,Galerie intégration officielle — knowledge ops.,,,,
Zapier,RSS → Slack / Twitter (auto-post),https://zapier.com/apps/rss/integrations/slack,Galerie intégration officielle — content ops.,,,,
Zapier,Gmail → Google Sheets (log inbound),https://zapier.com/apps/gmail/integrations/google-sheets,Galerie intégration officielle — logging email data.,,,,
Zapier,Google Forms → Google Sheets (responses),https://zapier.com/apps/google-forms/integrations/google-sheets,Galerie intégration officielle — education/ops.,,,,
Zapier,HubSpot → Slack (new contact/lead),https://zapier.com/apps/hubspot/integrations/slack,Galerie intégration officielle — sales ops.,,,,
Zapier,Facebook Lead Ads → Mailchimp (new subscriber),https://zapier.com/apps/facebook-lead-ads/integrations/mailchimp,Galerie intégration officielle — acquisition.,,,,
Zapier,Trello → Slack (card activity),https://zapier.com/apps/trello/integrations/slack,Galerie intégration officielle — project ops.,,,,
