id,title,agent,category,type,sdk_native,summary
42,PHI De-identification Linter,QAGuardian_HIPAA,HIPAA,strategic,False,Détecte identifiants PHI; bloque si fuite possible.
43,Ops Infra Audit (DNS/Proxy),OpsAgent_HIPAA,HIPAA,operational,True,"Vérifie DNS, reverse proxy, webhooks sécurisés."
44,Compliance Report Weekly,LeadershipAgent_HIPAA,HIPAA,operational,True,Rapport hebdo de conformité et écarts.
45,Agents↔Prompts Graph Builder,ArchivistAgent,Meta/Graph,strategic,False,Génère Mermaid JSON→graph; détecte orphelins.
46,Orphan/Conflict Detector,SyncAgent,Meta/Graph,operational,True,"Détecte collisions, doublons, prompts inactifs."
47,Auto-Eval & Promotion Weekly,LibraryAgent,Meta/Graph,strategic,False,Exécute micro-evals; promeut/déclasse prompts.
48,LLM Observability Collector,OpsAgent,Core/UA,operational,True,Collecte latence/tokens/erreurs; export ND-JSON.
49,Automated Log Summary,ReportingAgent,Core/UA,operational,True,Résume artefacts CI et incidents en Markdown.
50,Late-Idea Override,MasterAgent,Core/UA,strategic,False,Module d'exception post-checkpoint 70% (Base44).
51,Technical Report Mode,ContentAgent,Core/UA,strategic,False,Ton neutre; bypass Yomi pour rapports techniques.
52,Gemini Cross-Audit Pipeline,UltimateAgent,Core/UA,strategic,False,Audit par IA externes (Gemini/Claude/GPT/Perplexity).
53,Disaster Drill T-0,QAGuardian,Core/UA,strategic,False,Simulation panne totale; mesure RTO/RPO.
54,Dashboard Base44 Credits,ContentAgent,Core/UA,operational,True,Résumé crédits par run; intégration README.
55,Failover n8n Queue (Generic),OpsAgent,Core/UA,operational,True,File locale CSV/S3 si endpoint n8n down.
56,Analytics Config (GA/GTM),AnalyticsAgent,Parlios/Web,operational,True,Configure GA/GTM + events de base.
57,A/B Wording Optimizer,GrowthAgent_Tazlow,Tazlow,operational,True,Génère 2–3 variantes et sélection heuristique.
58,Editorial Observability Report,ReportingAgent_Tazlow,Tazlow,strategic,False,Tableau 'post|network|ETA|status' hebdo.
59,Blue-Green Plan (MySafeCup),OpsAgent_MySafeCup,MySafeCup,strategic,False,Stratégie de déploiement sans downtime.
60,Design QA Overlay,QAGuardian_MySafeCup,MySafeCup,strategic,False,Vérifie overlay/logo attaché correctement.
61,Data Provenance Audit,SecurityAgent_HIPAA,HIPAA,operational,True,Trace source→prompt→résultat pour audit.
62,Knowledge Snapshot Weekly,ReportingAgent,Meta/Graph,operational,True,Snapshot hebdo + synthèse changements.
