platform,name,link,tags,metric_type,metric_value,metric_last_checked,proof_of_value,metrics_status
n8n,Stripe payment session → CRM sync,https://n8n.io/workflows/3391-stripe-payment-order-sync-auto-retrieve-customer-and-product-purchased/,"finance,stripe,crm",downloads_or_favorites,,2025-09-27,Récupération des infos client/produit pour CRM.,public_page_counter_available
n8n,Daily Google Ads → Notion + Sheets,https://n8n.io/workflows/7133-daily-google-ads-performance-to-notion-and-google-sheets/,"ads,reporting,notion,sheets",downloads_or_favorites,,2025-09-27,Rapport quotidien Ads (clics/conversions) dans Notion & Sheets.,public_page_counter_available
n8n,Automated Google Ads reporting (multi-client),https://n8n.io/workflows/7387-automated-google-ads-campaign-reporting-to-google-sheets-with-airtable-client-management/,"ads,agency,airtable,sheets",downloads_or_favorites,,2025-09-27,Reporting multi-comptes + gestion clients Airtable.,public_page_counter_available
n8n,Facebook/Google Lead Ads → Sheets + Salesforce,https://n8n.io/workflows/6687-sync-facebookgoogle-lead-ads-to-google-sheets-and-salesforce-crm/,"leadgen,fbads,googleads,salesforce",downloads_or_favorites,,2025-09-27,Capture & sync leads vers CRM (Salesforce).,public_page_counter_available
n8n,Typeform → HubSpot (new contact),https://n8n.io/workflows/1223-capture-leads-in-hubspot-from-typeform/,"leadgen,typeform,hubspot",downloads_or_favorites,,2025-09-27,Création de contacts HubSpot depuis Typeform.,public_page_counter_available
n8n,Notion KB AI Assistant (RAG),https://n8n.io/workflows/2413-notion-knowledge-base-ai-assistant/,"ai,rag,notion,support",downloads_or_favorites,,2025-09-27,Assistant IA adossé à Notion (RAG).,public_page_counter_available
Zapier,Gmail → Slack (new emails to channel),https://zapier.com/apps/gmail/integrations/slack,"ops,alerts,gmail,slack",popularity_badge_or_usage,,2025-09-27,"Galerie officielle Zapier, recettes populaires.",popular_template_indicator
Zapier,Typeform → Google Sheets (populate),https://zapier.com/apps/google-sheets/integrations/typeform,"leadgen,forms,sheets",popularity_badge_or_usage,,2025-09-27,Intégration très répandue pour la collecte de leads.,popular_template_indicator
Zapier,FB Lead Ads → HubSpot (contacts/deals),https://zapier.com/apps/facebook-lead-ads/integrations/hubspot,"leadgen,fbads,hubspot",popularity_badge_or_usage,,2025-09-27,Connexion leadgen → CRM (HubSpot).,popular_template_indicator
Zapier,Stripe → Slack (notify new payments),https://zapier.com/apps/slack/integrations/stripe,"finance,stripe,slack,alerts",popularity_badge_or_usage,,2025-09-27,Alerte revenue en temps réel.,popular_template_indicator
Zapier,Shopify ↔ Google Sheets (orders),https://zapier.com/apps/google-sheets/integrations/shopify,"ecommerce,shopify,sheets",popularity_badge_or_usage,,2025-09-27,Reporting e-commerce récurrent.,popular_template_indicator
Zapier,Notify on Slack + log to Sheets (Stripe),https://zapier.com/templates/details/e19bef4fcbeb282fa88d45d54f08872de6d4ca55e8ef4553ed13b1bc0e80cf75,"finance,stripe,slack,sheets",popularity_badge_or_usage,,2025-09-27,Page template détaillée (Stripe→Slack+Sheets).,popular_template_indicator
Zapier,Create Shopify orders from Sheets,https://zapier.com/templates/details/7a12ba2208c729d4e0c6e06b7a9798598098f044d65cdec7397794facf97dd7c,"ecommerce,shopify,sheets",popularity_badge_or_usage,,2025-09-27,Création d'ordres Shopify depuis Sheets.,popular_template_indicator
Zapier,Gmail labeled digest → Slack (AI),https://zapier.com/apps/gmail/integrations/slack/1659731/get-slack-channel-messages-with-summary-digests-of-new-labeled-gmail-emails-by-chat-tuesday,"ops,ai,gmail,slack",popularity_badge_or_usage,,2025-09-27,Résumé IA des emails et digest vers Slack.,popular_template_indicator
Zapier,Typeform → Sheets (how-to blog),https://zapier.com/blog/add-typeform-responses-to-google-sheets/,"tutorial,forms,sheets",tutorial,,2025-09-27,Tutoriel officiel avec template pointé.,evidence_via_official_blog
Zapier,Save Shopify orders to Sheets (how-to blog),https://zapier.com/blog/save-shopify-orders-google-sheet/,"tutorial,ecommerce,shopify,sheets",tutorial,,2025-09-27,Tutoriel officiel pour log de commandes.,evidence_via_official_blog
